product_id,product_name,rank,intent_id,intent_name,score,evidence,reason,ontology_version,labeling_run_id,model,created_at
P009,Sun Hat (Wide Brim),4,IN_FA_02,Personal Accessories & Adornment,0.6,sun hat (wide brim),A sun hat is an accessory that complements personal style.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P009,Sun Hat (Wide Brim),5,IN_GOL_02,Outdoor Space Enhancement,0.4,sun hat,It is used in outdoor settings like gardens and patios.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P010,Thermal Underwear Set,1,IN_FA_01,Apparel & Clothing,1.0,thermal underwear set,This is a specific type of clothing.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P010,Thermal Underwear Set,2,IN_ORS_01,Outdoor Gear & Activities,0.9,moisture-wicking base layer for winter protection,It's designed for protection during outdoor winter activities.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P010,Thermal Underwear Set,3,IN_TC_01,Travel Essentials & Efficiency,0.7,winter protection,Thermal underwear is essential for comfortable travel in cold climates.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P010,Thermal Underwear Set,4,IN_FA_02,Personal Accessories & Adornment,0.5,thermal underwear set,"While functional, it's still part of personal attire.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P010,Thermal Underwear Set,5,IN_WR_01,Personal Relaxation & Comfort,0.4,winter protection,It contributes to personal comfort in cold conditions.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P011,All-Weather Parka,1,IN_FA_01,Apparel & Clothing,1.0,all-weather parka,A parka is a type of outerwear clothing.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P011,All-Weather Parka,2,IN_ORS_01,Outdoor Gear & Activities,0.9,"waterproof, insulated jacket for extreme cold",It's designed for protection during outdoor activities in harsh weather.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P011,All-Weather Parka,3,IN_TC_01,Travel Essentials & Efficiency,0.7,all-weather parka,This jacket is essential for travel in diverse or extreme weather conditions.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P011,All-Weather Parka,4,IN_FA_02,Personal Accessories & Adornment,0.6,all-weather parka,A parka is a functional clothing item that also contributes to personal style.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P011,All-Weather Parka,5,IN_WR_01,Personal Relaxation & Comfort,0.4,insulated jacket for extreme cold,It provides warmth and comfort in challenging weather.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P012,Leather Work Gloves,1,IN_THI_01,General Tools & Hardware,1.0,work gloves,Work gloves are essential tools for various manual tasks and projects.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P012,Leather Work Gloves,2,IN_HMS_01,Home Repairs & DIY,0.9,heavy labor,These gloves are used for protection during home repair and DIY tasks.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P012,Leather Work Gloves,3,IN_ORS_01,Outdoor Gear & Activities,0.7,work gloves,They can be used for various outdoor activities requiring hand protection.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P012,Leather Work Gloves,4,IN_GOL_01,Garden Care & Cultivation,0.6,work gloves,These gloves are suitable for gardening and landscaping tasks.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P012,Leather Work Gloves,5,IN_FA_02,Personal Accessories & Adornment,0.4,leather work gloves,"While primarily functional, gloves are also a type of personal accessory.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P013,Anti-Blue Light Glasses,1,IN_PCH_01,Daily Hygiene & Grooming,0.9,reduce digital eye strain,These glasses are a personal item for self-care by reducing eye strain.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P013,Anti-Blue Light Glasses,2,IN_CET_01,Electronic Devices & Gadgets,0.8,digital eye strain,The glasses are an accessory for interacting with digital electronic devices.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P013,Anti-Blue Light Glasses,3,IN_WR_01,Personal Relaxation & Comfort,0.7,reduce digital eye strain,Reducing eye strain contributes to personal comfort and well-being.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P013,Anti-Blue Light Glasses,4,IN_FA_02,Personal Accessories & Adornment,0.6,lightweight frames,Glasses serve as a functional personal accessory.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P013,Anti-Blue Light Glasses,5,IN_PBS_01,Advanced Work & Productivity,0.5,reduce digital eye strain,Reducing eye strain can improve productivity during work or study involving screens.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P014,Silk Necktie (Navy),1,IN_FA_01,Apparel & Clothing,0.9,silk necktie,A necktie is a fundamental item of clothing.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P014,Silk Necktie (Navy),2,IN_FA_02,Personal Accessories & Adornment,0.9,silk tie for formal business wear,A necktie is a classic accessory used to complement outfits and enhance personal style.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P014,Silk Necktie (Navy),3,IN_BG_01,Cosmetics & Personal Style,0.7,formal business wear,"The necktie enhances personal style, especially for formal occasions.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P014,Silk Necktie (Navy),4,IN_GSO_01,Thoughtful & Personalized Gifts,0.6,100% mulberry silk tie,A high-quality silk necktie can be a thoughtful gift for various occasions.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P014,Silk Necktie (Navy),5,IN_PBS_01,Advanced Work & Productivity,0.5,formal business wear,Formal business wear is often associated with professional work environments.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P015,Canvas Tote Bag,1,IN_FA_02,Personal Accessories & Adornment,0.9,canvas tote bag,A tote bag is a functional personal accessory for carrying items.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P015,Canvas Tote Bag,2,IN_SEL_01,Eco-Conscious Products & Practices,0.9,reusable bag,The bag's reusability promotes eco-conscious practices and sustainable living.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P015,Canvas Tote Bag,3,IN_CHE_02,Eco-Friendly Household Solutions,0.8,reusable bag,"A reusable bag is an eco-friendly solution for general utility, reducing waste.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P015,Canvas Tote Bag,4,IN_TC_01,Travel Essentials & Efficiency,0.8,reusable bag for daily errands,The bag facilitates efficient carrying for daily errands and commutes.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P015,Canvas Tote Bag,5,IN_HOS_01,Efficient Home Organization,0.6,reusable bag,A tote bag can be used for temporary organization or storage of items.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P016,Car Dash Camera 4K,1,IN_AVM_02,Automotive Safety & Tech,1.0,car dash camera 4k,A dash camera directly enhances vehicle safety and security.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P016,Car Dash Camera 4K,2,IN_CET_01,Electronic Devices & Gadgets,0.9,ultra-hd dash cam with night vision and g-sensor,The dash camera is an electronic device with advanced features for in-car use.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P016,Car Dash Camera 4K,3,IN_PV_01,Camera Gear & Accessories,0.8,dash cam,A dash camera is a specialized type of camera for recording video.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P016,Car Dash Camera 4K,4,IN_HMS_02,Home Safety & Security,0.7,dash cam with night vision and g-sensor,"The product addresses a general desire for safety and security, even if vehicle-specific.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P016,Car Dash Camera 4K,5,IN_TC_01,Travel Essentials & Efficiency,0.6,car dash camera,"A dash camera is considered an essential for many drivers, contributing to peace of mind during travel.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P017,Dash Cam (Front & Rear),1,IN_AVM_02,Automotive Safety & Tech,1.0,dash cam (front & rear),A dash cam is a device that enhances vehicle safety and in-car technology.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P017,Dash Cam (Front & Rear),2,IN_CET_01,Electronic Devices & Gadgets,0.8,dual-camera system,The dash cam is an electronic device with a camera system.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P017,Dash Cam (Front & Rear),3,IN_PV_01,Camera Gear & Accessories,0.6,dual-camera system,A dash cam functions as a specialized camera system for vehicles.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P017,Dash Cam (Front & Rear),4,IN_TC_01,Travel Essentials & Efficiency,0.5,automotive category sale,"Dash cams can be considered an essential for travel, providing security on the road.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P017,Dash Cam (Front & Rear),5,IN_HMS_02,Home Safety & Security,0.3,dash cam,"While primarily automotive, dash cams contribute to a broader sense of security through recording.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P018,Brake Fluid (DOT 4),1,IN_AVM_01,Vehicle Maintenance & Repair,1.0,brake fluid (dot 4),Brake fluid is a consumable fluid essential for vehicle maintenance and repair.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P018,Brake Fluid (DOT 4),2,IN_AVM_02,Automotive Safety & Tech,0.7,hydraulic fluid for disc brakes,Proper brake fluid is critical for the safe operation of a vehicle's braking system.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P018,Brake Fluid (DOT 4),3,IN_HMS_01,Home Repairs & DIY,0.3,hydraulic fluid,Vehicle fluid replacement can be considered a form of DIY maintenance.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P019,Tire Pressure Gauge,1,IN_AVM_01,Vehicle Maintenance & Repair,1.0,tire pressure gauge,A tire pressure gauge is a tool used for routine vehicle maintenance.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P019,Tire Pressure Gauge,2,IN_AVM_02,Automotive Safety & Tech,0.9,measuring psi,Maintaining correct tire pressure is crucial for vehicle safety.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P019,Tire Pressure Gauge,3,IN_THI_01,General Tools & Hardware,0.7,simple pencil-style gauge,A tire pressure gauge is a general purpose measuring tool.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P019,Tire Pressure Gauge,4,IN_HMS_01,Home Repairs & DIY,0.6,gauge for measuring,"This tool can be used for DIY vehicle maintenance, a form of home repair.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P019,Tire Pressure Gauge,5,IN_CHE_01,Home Cleaning & Maintenance,0.4,gauge,"It's a tool for maintaining a vehicle, which falls under a broader concept of maintenance.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P020,Wiper Blade (22-inch),1,IN_AVM_01,Vehicle Maintenance & Repair,1.0,replacement windshield wiper,A wiper blade is a replacement part essential for vehicle maintenance.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P020,Wiper Blade (22-inch),2,IN_AVM_02,Automotive Safety & Tech,0.9,windshield wiper,Functional wiper blades are critical for visibility and vehicle safety.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P020,Wiper Blade (22-inch),3,IN_HMS_01,Home Repairs & DIY,0.5,replacement windshield wiper,Replacing a wiper blade is a simple DIY repair task for a vehicle.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P020,Wiper Blade (22-inch),4,IN_THI_01,General Tools & Hardware,0.4,replacement,Wiper blades are a type of hardware replacement part for vehicles.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P020,Wiper Blade (22-inch),5,IN_CHE_01,Home Cleaning & Maintenance,0.3,wiper blade,"Wiper blades contribute to maintaining clear visibility, a form of vehicle upkeep.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P021,Car Fuse Assortment,1,IN_AVM_01,Vehicle Maintenance & Repair,1.0,automotive blade fuses,Fuses are essential components for vehicle maintenance and repair.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P021,Car Fuse Assortment,2,IN_AVM_02,Automotive Safety & Tech,0.9,automotive blade fuses,Fuses contribute to the electrical safety and functionality of a vehicle.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P021,Car Fuse Assortment,3,IN_THI_01,General Tools & Hardware,0.7,common automotive blade fuses,Fuses are a type of hardware component used in various repair projects.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P021,Car Fuse Assortment,4,IN_HMS_01,Home Repairs & DIY,0.5,automotive blade fuses,"DIY enthusiasts often perform car repairs at home, requiring such components.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P021,Car Fuse Assortment,5,IN_CET_01,Electronic Devices & Gadgets,0.4,automotive blade fuses,Fuses are electronic components crucial for device protection.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P022,Degreaser Spray,1,IN_AVM_01,Vehicle Maintenance & Repair,1.0,engine and part cleaner,Essential for cleaning vehicle components during maintenance.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P022,Degreaser Spray,2,IN_CHE_01,Home Cleaning & Maintenance,0.9,degreaser spray,A powerful cleaning agent for heavy-duty household or workshop maintenance.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P022,Degreaser Spray,3,IN_HMS_01,Home Repairs & DIY,0.8,heavy-duty industrial engine and part cleaner,Used as a material for cleaning parts in DIY repair projects.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P022,Degreaser Spray,4,IN_GOL_01,Garden Care & Cultivation,0.4,degreaser spray,Can be used to clean garden tools and machinery.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P022,Degreaser Spray,5,IN_HMS_02,Home Safety & Security,0.3,degreaser spray,Cleaning greasy surfaces with a degreaser can improve safety by preventing slips.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P023,Microfiber Glass Cloth,1,IN_CHE_01,Home Cleaning & Maintenance,1.0,cleaning cloth for windows and mirrors,Essential for keeping living spaces tidy and well-maintained.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P023,Microfiber Glass Cloth,2,IN_HDA_01,Enhancing Home Aesthetics,0.9,cleaning cloth for windows and mirrors,Clean windows and mirrors directly contribute to the beauty and atmosphere of a living space.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P023,Microfiber Glass Cloth,3,IN_SEL_01,Eco-Conscious Products & Practices,0.8,microfiber glass cloth,"Reusable microfiber cloths reduce waste, aligning with sustainable practices.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P023,Microfiber Glass Cloth,4,IN_AVM_01,Vehicle Maintenance & Repair,0.5,cleaning cloth for windows and mirrors,Can be used as a tool for cleaning vehicle windows and mirrors during maintenance.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P023,Microfiber Glass Cloth,5,IN_HMS_01,Home Repairs & DIY,0.4,cleaning cloth,A useful tool for cleaning surfaces and items during various home repair and DIY projects.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P024,Antifreeze/Coolant,1,IN_AVM_01,Vehicle Maintenance & Repair,1.0,radiator fluid,Antifreeze/coolant is a critical fluid for maintaining a vehicle's engine and cooling system.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P024,Antifreeze/Coolant,2,IN_AVM_02,Automotive Safety & Tech,0.9,antifreeze/coolant,"Proper coolant levels prevent engine damage, directly enhancing vehicle safety and longevity.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P024,Antifreeze/Coolant,3,IN_HMS_01,Home Repairs & DIY,0.7,radiator fluid,"Many DIY enthusiasts perform car maintenance at home, requiring such fluids.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P024,Antifreeze/Coolant,4,IN_GOL_01,Garden Care & Cultivation,0.4,radiator fluid,Can be used in the maintenance of garden machinery with cooling systems.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P024,Antifreeze/Coolant,5,IN_CHE_01,Home Cleaning & Maintenance,0.3,radiator fluid,"As a maintenance fluid, it contributes to keeping mechanical systems well-maintained, broadly aligning with maintenance.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P025,Funnel Set (3pc),1,IN_AVM_01,Vehicle Maintenance & Repair,1.0,funnels for automotive fluids,"The funnel set is specifically designed for handling automotive fluids, directly supporting vehicle maintenance.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P025,Funnel Set (3pc),2,IN_THI_01,General Tools & Hardware,0.8,funnel set,"Funnels are general purpose tools used for various tasks, including fluid transfer.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P025,Funnel Set (3pc),3,IN_HMS_01,Home Repairs & DIY,0.6,funnel set,Funnels can be utilized for various fluid-related tasks in home repair and DIY projects.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
